
2024/11/01 (21:49:26) | ===> btop++ v.1.4.0
2024/11/01 (21:49:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (22:09:37) | ===> btop++ v.1.4.0
2024/11/01 (22:09:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (23:04:18) | ===> btop++ v.1.4.0
2024/11/01 (23:04:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (13:31:56) | ===> btop++ v.1.4.0
2024/11/02 (13:31:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (16:42:06) | ===> btop++ v.1.4.0
2024/11/02 (16:42:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (21:04:46) | ===> btop++ v.1.4.0
2024/11/02 (21:04:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (21:14:04) | ===> btop++ v.1.4.0
2024/11/02 (21:14:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (21:44:26) | ===> btop++ v.1.4.0
2024/11/02 (21:44:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (22:26:39) | ===> btop++ v.1.4.0
2024/11/02 (22:26:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (12:34:30) | ===> btop++ v.1.4.0
2024/11/03 (12:34:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (22:32:37) | ===> btop++ v.1.4.0
2024/11/03 (22:32:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (22:42:47) | ===> btop++ v.1.4.0
2024/11/03 (22:42:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (00:14:52) | ===> btop++ v.1.4.0
2024/11/04 (00:14:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (00:15:22) | ===> btop++ v.1.4.0
2024/11/04 (00:15:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (21:39:26) | ===> btop++ v.1.4.0
2024/11/04 (21:39:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (21:39:40) | ===> btop++ v.1.4.0
2024/11/04 (21:39:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (21:39:59) | ===> btop++ v.1.4.0
2024/11/04 (21:39:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (21:40:20) | ===> btop++ v.1.4.0
2024/11/04 (21:40:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (21:40:28) | ===> btop++ v.1.4.0
2024/11/04 (21:40:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (21:40:50) | ===> btop++ v.1.4.0
2024/11/04 (21:40:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (21:41:33) | ===> btop++ v.1.4.0
2024/11/04 (21:41:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (21:42:13) | ===> btop++ v.1.4.0
2024/11/04 (21:42:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (17:25:18) | ===> btop++ v.1.4.0
2024/11/05 (17:25:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (17:28:03) | ===> btop++ v.1.4.0
2024/11/05 (17:28:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (12:01:10) | ===> btop++ v.1.4.0
2024/11/06 (12:01:10) | WARNING: Intel GPU: Failed to initialize PMU

